longitude,latitude
128.952986,35.168315
128.952798,35.16877
128.952874,35.168388
128.957943,35.096528
128.961141,35.049552
129.0074,35.091521
129.026286,35.101325
128.952858,35.168674
128.952857,35.168674
128.952896,35.168363
128.952919,35.167922
128.952893,35.168362
128.952885,35.168355
128.952882,35.168368
129.244036,35.232304
129.247307,35.239531
129.228132,35.218561
129.259132,35.308524
129.162241,35.161958
129.25961,35.282875
129.25957,35.282872
129.259594,35.282868
129.247609,35.239616
129.252614,35.27237
129.070107,35.284171
129.114813,35.148599
129.123026,35.099633
129.197228,35.171564
129.243542,35.234582
129.220852,35.189938
129.145192,35.154148
129.117504,35.190546
129.116494,35.151564
129.02388,35.079348
129.026644,35.09946
128.95296,35.168314
129.122718,35.101699
129.009404,35.09727
129.157031,35.160846
129.171812,35.167838
128.961789,35.110573
129.012038,35.151624
128.952996,35.167914
129.092927,35.264376
128.952975,35.167985
128.952857,35.168623
128.952847,35.167495
129.092996,35.264355
129.125182,35.177302
130.046583,35.161251
128.986715,35.161926
128.952805,35.168596
129.043324,35.117073
128.952951,35.168358
128.98714,35.161861
128.952927,35.167982
129.09286,35.264365
129.090703,35.231708
128.717988,34.837242
128.718042,34.837013
128.703228,34.843156
128.717707,34.837242
144.96,48.062851
129.028472,35.098298
129.165138,35.162994
129.15928,35.159185
129.159265,35.159176
129.116496,35.152146
129.116477,35.151987
129.05494,35.159925
129.062362,35.139552
129.226688,35.196871
128.419437,34.885769
128.520243,34.916311
128.616632,34.891755
128.619315,34.87864
129.143807,35.157557
129.045494,35.079027
129.082337,35.06213
129.07788,35.059831
128.428205,34.860284
128.427195,34.848616
128.407058,34.800179
129.026632,35.102706
129.05656,35.155107
129.114639,35.149132
129.124105,35.15547
129.114711,35.149149
129.216132,35.25591
129.130819,35.170722
129.164343,35.159905
128.951757,35.1722
128.95298,35.167837
128.265152,34.633592
128.265547,34.633195
128.422393,34.825336
128.423738,34.846638
129.212527,35.191834
129.228262,35.199176
129.17031,35.159083
129.115497,35.150604
129.023097,35.077496
129.041836,35.117528
126.997122,37.259266
126.998382,37.257874
126.729461,37.496011
126.727529,37.49619
128.952895,35.168007
129.566052,36.076508
129.501794,35.801584
129.217255,35.829748
129.501793,35.801564
128.425508,34.826326
128.423176,34.823836
128.420659,34.840445
128.520316,34.916385
128.709816,34.847897
128.698605,34.836065
128.709999,34.847701
129.03707,35.208704
129.03491,35.202948
129.215202,35.19302
129.007842,35.211265
129.20074,35.181677
129.159506,35.163551
129.182459,35.158581
129.163764,35.168066
129.003112,35.330838
129.085977,35.222011
129.003099,35.330918
129.037882,35.113494
129.041018,35.11645
128.952834,35.168712
128.43936,34.824969
128.422328,34.841749
128.439147,34.825733
129.114706,35.161928
129.129085,35.172031
129.024632,35.101903
129.161779,35.164434
128.665215,34.794882
128.641262,34.775785
128.662419,34.741858
128.704482,34.966083
128.690074,34.89278
129.162265,35.160418
129.157536,35.165219
129.162091,35.159691
129.17081,35.158936
129.192156,35.161041
129.152545,35.156566
129.162387,35.160239
129.172136,35.158093
129.168237,35.165828
129.165711,35.166174
129.227346,35.197575
129.225046,35.198698
128.964097,35.10726
129.163099,35.166165
129.215999,35.245581
129.183325,35.15913
129.194564,35.162753
129.190541,35.160085
126.998062,37.258426
129.154103,35.158226
129.18285,35.15834
129.156255,35.158643
129.124533,35.155391
129.125059,35.153492
128.881788,35.146677
128.953004,35.168436
129.041065,35.358911
129.035485,35.344016
128.952933,35.167929
129.084822,35.220821
129.1797,35.156676
129.083847,35.236794
129.083329,35.234226
129.087625,35.227956
129.11008,35.11741
128.953026,35.167764
128.952533,35.167703
128.964348,35.107197
128.87417,35.08276
129.056655,35.155791
128.345211,35.294206
127.22082,35.746473
129.243022,35.257843
129.270315,35.322796
129.259645,35.29278
128.080351,35.080117
128.037978,34.80144
128.053066,34.769787
127.860703,34.751984
127.910505,34.826323
128.952968,35.167814
128.952983,35.167797
128.952847,35.168419
129.040343,35.080959
129.11922,35.154958
128.92407,35.09708
128.952836,35.168704
129.113657,35.151688
129.124937,35.156457
129.138514,35.162054
129.119583,35.102107
129.142194,35.156382
129.182557,35.160049
129.152583,35.15713
129.01794,35.077526
129.171985,35.159721
129.170246,35.160453
129.163029,35.161669
129.170113,35.160652
128.694957,34.892197
129.128664,35.172219
128.95299,35.16846
128.714168,34.831436
128.694613,34.806445
128.704217,34.965999
128.520804,34.917018
129.169177,35.160714
129.129709,35.169483
129.141374,35.160708
129.1663,35.163461
129.151387,35.156112
129.114612,35.153119
129.019224,35.077576
129.024508,35.076919
129.044386,35.079908
