longitude,latitude
126.918261,33.438462
126.876455,33.528511
126.815354,33.342142
126.896347,33.404398
126.826741,33.475046
126.857482,33.526331
126.828743,33.541159
126.916987,33.471595
126.950963,33.493288
126.951761,33.517232
126.917105,33.438321
126.905968,33.49656
126.811128,33.491259
126.8269,33.475062
126.899145,33.397297
126.843024,33.324329
126.829228,33.331937
126.933557,33.473643
126.935605,33.462519
126.831687,33.463094
126.858109,33.526139
126.935558,33.462244
126.790518,33.342571
126.929938,33.423553
126.810851,33.491089
126.85959,33.515502
126.906891,33.406622
126.8979518,33.4087903
126.8315976,33.5357571
126.860154,33.52456
126.913652,33.452359
126.810869,33.491158
126.933507,33.472223
126.897956,33.441247
126.787878,33.345421
126.909784,33.492109
126.842491,33.38122
126.862729,33.523099
126.851073,33.531585
126.922311,33.450578
126.909802,33.4657166
126.8755,33.390321
126.935739,33.46221
126.933165,33.472035
126.909779,33.496539
126.862224,33.523957
126.934956,33.466011
126.842933,33.32417
126.935742,33.462497
126.783318,33.346772
126.933472,33.4722388
126.936109,33.46532
126.798374,33.455074
126.919047,33.444563
126.928697,33.432138
126.925308,33.427659
126.832672,33.326839
126.824723,33.331831
126.831322,33.327731
126.832119,33.326765
126.832635,33.326831
126.817777,33.31204
126.825258,33.332276
126.929943,33.46124
126.914126,33.447659
126.931793,33.463
126.830242,33.30802
126.898724,33.439883
126.933042,33.471968
126.891338,33.497845
126.923816,33.451912
126.884608,33.526693
126.902073,33.49152
126.901069,33.496152
126.921813,33.437718
126.916842,33.448699
126.921325,33.438267
126.914791,33.447581
126.935472,33.462252
126.844093,33.532868
126.935299,33.462322
126.913385,33.423528
126.930135,33.423375
126.816182,33.33052
126.930151,33.423341
126.920675,33.449847
126.896681,33.40624
126.918834,33.449642
126.855482,33.429866
126.834394,33.463828
126.935589,33.462127
126.929454,33.431226
126.934516,33.464343
126.918095,33.470058
126.906145,33.397013
126.904041,33.405203
126.8153855,33.3078811
126.933123,33.472037
126.791901,33.381918
126.842766,33.325456
126.790877,33.30611
126.828663,33.316949
126.8502601,33.5325295
126.929861,33.470198
126.928867,33.473377
126.921898,33.437815
126.935536,33.462366
126.919631,33.44524
126.910716,33.508139
126.930174,33.42345
126.791302,33.381444
126.923907,33.451908
126.884801,33.445309
126.857178,33.526404
126.862207,33.523964
126.850293,33.532595
126.79184,33.381233
126.820233,33.459985
126.933408,33.462511
126.853038,33.522197
126.930604,33.470436
126.846672,33.509569
126.933157,33.472448
126.917237,33.438332
126.854867,33.429941
126.898895,33.439873
126.829241,33.331939
126.838985,33.366635
126.909725,33.492076
126.836985,33.464623
126.929804,33.430897
126.93584,33.462342
126.915223,33.450637
126.927367,33.431988
126.936299,33.462654
126.929497,33.461321
126.932123,33.465008
126.8979115,33.5128535
126.9150448,33.4484563
126.828862,33.317099
126.791299,33.305981
126.8583333,33.5208001
126.932317,33.4722466
126.855443,33.525102
126.840021,33.535133
126.7911426,33.381174
126.8578461,33.521284
126.911641,33.448167
126.789275,33.386116
126.909416,33.458717
126.794993,33.30615
126.923213,33.451215
126.919234,33.449617
126.916203,33.448625
126.840876,33.325161
126.842653,33.325181
126.935255,33.462024
126.906697,33.445464
126.935488,33.461722
126.878445,33.400951
126.880242,33.382014
126.915044,33.450752
126.936078,33.463127
126.9170041,33.4713738
126.855902,33.5261506
126.935581,33.461869
126.910792,33.454886
126.929479,33.423507
126.811221,33.491346
126.90583,33.496597
126.837056,33.464633
126.89801,33.440516
126.857047,33.526387
126.925918,33.433143
126.933242,33.472062
126.913906,33.447855
126.920476,33.449411
126.930003,33.423446
126.857749,33.52136
126.928895,33.430768
126.908134,33.410283
126.842005,33.528102
126.915893,33.437837
126.933898,33.463514
126.898636,33.439738
126.923263,33.451365
126.811819,33.491209
126.932864,33.472
126.919039,33.449784
126.898783,33.440213
126.7836086,33.3063191
126.932657,33.472138
126.932565,33.47256
126.935941,33.462452
126.910825,33.44686
126.831567,33.463004
126.783599,33.306374
126.880488,33.381892
126.812058,33.491259
126.914304,33.447391
126.926082,33.433086
126.850607,33.532428
126.863406,33.525208
126.934875,33.468994
126.842672,33.325349
126.926777,33.432134
126.928005,33.432023
126.810946,33.491104
126.911106,33.454815
126.909809,33.45887
126.933331,33.472157
126.935765,33.462261
126.916492,33.44934
126.928558,33.469408
126.81112,33.491099
126.904137,33.400391
126.836224,33.464318
126.914052,33.447527
126.910918,33.454907
126.882285,33.383391
126.87725,33.379504
126.903275,33.391049
126.882248,33.383501
126.929599,33.430648
126.89898,33.496069
126.91813,33.470076
126.908939,33.413026
126.929349,33.469288
126.91696,33.471612
126.926883,33.431904
126.920594,33.449771
126.935449,33.462313
126.814063,33.330436
126.935097,33.463052
126.905846,33.496617
126.826697,33.322735
126.828333,33.325867
126.830648,33.321739
126.930285,33.423404
126.842532,33.381377
126.837055,33.312916
126.933483,33.463383
126.935748,33.462183
126.932366,33.472367
126.911047,33.45493
126.911113,33.473902
126.935464,33.462015
126.9172063,33.4686375
126.9167976,33.4487623
126.9206021,33.449762
126.936001,33.465365
126.935137,33.463501
126.933314,33.461115
126.892825,33.444172
126.916292,33.448658
126.82149,33.458842
126.850554,33.532496
126.924683,33.453158
126.933737,33.461214
126.918226,33.438238
126.843855,33.376155
126.906211,33.496917
126.912717,33.502101
126.912778,33.502224
126.918267,33.449428
126.848951,33.532693
126.879964,33.440636
126.933573,33.473799
126.959265,33.49364
126.935348,33.462494
126.932462,33.472236
126.796243,33.353618
126.933084,33.472089
126.838863,33.36667
126.854877,33.371414
126.9117,33.448226
126.928951,33.472736
126.909413,33.479064
126.917642,33.468698
126.893271,33.444226
126.876473,33.380784
126.932524,33.472002
126.895105,33.421414
126.806344,33.303443
126.828275,33.316861
126.934831,33.461477
126.934849,33.461512
126.844474,33.533245
126.935612,33.461975
126.840539,33.533167
126.909653,33.492043
126.826719,33.474961
126.810566,33.492939
126.909461,33.454996
126.914002,33.453074
126.801126,33.393245
126.929244,33.423607
126.92049,33.449512
126.934367,33.472547
126.931087,33.460823
126.932838,33.47231
126.832924,33.454835
126.933141,33.472402
126.914202,33.447201
126.920708,33.449795
126.92707,33.432054
126.831492,33.463066
126.840583,33.536378
126.905077,33.434243
126.934364,33.460922
126.914931,33.447621
126.933884,33.473027
126.853031,33.522153
126.836979,33.482531
126.801021,33.393233
126.903606,33.404041
