id,name,lat,lon,,,,,,,,,,,,,,,,,,,,,,,,,,,
406-2-000054,나포리 호텔 아래 공영주차장,33.243655,126.5628782,,,,,,,,,,,,,,,,,,,,,,,,,,,
406-2-000055,자구리 공영주차장,33.242873,126.566663,,,,,,,,,,,,,,,,,,,,,,,,,,,
406-2-000056,이중섭거리 공영주차장,33.245253,126.5649581,,,,,,,,,,,,,,,,,,,,,,,,,,,
406-2-000057,서홍공영노외1주차장,33.256238,126.559648,,,,,,,,,,,,,,,,,,,,,,,,,,,
406-2-000058,효돈중학교 북측 공영주차장,33.26634521,126.620924,,,,,,,,,,,,,,,,,,,,,,,,,,,
406-2-000059,효돈동주민센터 남측 공영주차장,33.26336085,126.6177094,,,,,,,,,,,,,,,,,,,,,,,,,,,
406-2-000060,중앙여중 후문 공영주차장,33.25502147,126.5636737,,,,,,,,,,,,,,,,,,,,,,,,,,,
406-2-000061,동홍 공영노외1주차장,33.25616185,126.5684382,,,,,,,,,,,,,,,,,,,,,,,,,,,
406-2-000062,동홍 공영노외2주차장,33.25181564,126.5694961,,,,,,,,,,,,,,,,,,,,,,,,,,,
406-2-000063,시민회관 옆 공영주차장,33.251633,126.567538,,,,,,,,,,,,,,,,,,,,,,,,,,,
406-2-000064,신시가지 공영주차장,33.260036,126.5073823,,,,,,,,,,,,,,,,,,,,,,,,,,,
406-2-000065,강정마을 공영주차장,33.235151,126.474661,,,,,,,,,,,,,,,,,,,,,,,,,,,
406-2-000066,법환 노인회관 앞 공영주차장,33.23938649,126.509485,,,,,,,,,,,,,,,,,,,,,,,,,,,
406-2-000067,동일다목적회관 앞 공영주차장,33.22842744,126.2413832,,,,,,,,,,,,,,,,,,,,,,,,,,,
406-2-000068,하모리 홍마트 북측 공영주차장,33.220066,126.252586,,,,,,,,,,,,,,,,,,,,,,,,,,,
406-2-000069,서부종합사회복지관 남측 공영주차장,33.223648,126.248055,,,,,,,,,,,,,,,,,,,,,,,,,,,
406-2-000070,남원 중앙동 공영주차장,33.278887,126.716856,,,,,,,,,,,,,,,,,,,,,,,,,,,
