id,name,lat,lon,,,,,,,,,,,,,,,,,,,,,,,,,,,
405-2-000057,이도일동 무료 주차장,33.51206773,126.5249838,,,,,,,,,,,,,,,,,,,,,,,,,,,
405-2-000058,이도일동 무료 주차장,33.50976976,126.5267427,,,,,,,,,,,,,,,,,,,,,,,,,,,
405-2-000059,오복1길,33.49675309,126.5329999,,,,,,,,,,,,,,,,,,,,,,,,,,,
405-2-000060,도남로 15길,33.49183088,126.5284667,,,,,,,,,,,,,,,,,,,,,,,,,,,
405-2-000061,이도이동 무료 주차장,33.49338897,126.5275687,,,,,,,,,,,,,,,,,,,,,,,,,,,
405-2-000062,이도이동 무료 주차장,33.49187594,126.5353202,,,,,,,,,,,,,,,,,,,,,,,,,,,
405-2-000063,이도이동 무료 주차장,33.49914948,126.5440352,,,,,,,,,,,,,,,,,,,,,,,,,,,
405-2-000064,이도이동 무료 주차장,33.49628517,126.5368924,,,,,,,,,,,,,,,,,,,,,,,,,,,
405-2-000065,이도이동 무료 주차장,33.48964724,126.531355,,,,,,,,,,,,,,,,,,,,,,,,,,,
405-2-000066,이도이동 무료 주차장,33.4904382,126.5197745,,,,,,,,,,,,,,,,,,,,,,,,,,,
405-2-000067,이도이동 무료 주차장,33.48828924,126.5210161,,,,,,,,,,,,,,,,,,,,,,,,,,,
405-2-000068,이도이동 무료 주차장,33.49144787,126.5227917,,,,,,,,,,,,,,,,,,,,,,,,,,,
405-2-000069,이도이동 무료 주차장,33.48914471,126.5224434,,,,,,,,,,,,,,,,,,,,,,,,,,,
405-2-000070,이도이동 무료 주차장,33.48914231,126.5237562,,,,,,,,,,,,,,,,,,,,,,,,,,,
405-2-000071,이도이동 무료 주차장,33.49172786,126.5220768,,,,,,,,,,,,,,,,,,,,,,,,,,,
405-2-000072,이도이동 무료 주차장,33.48801961,126.5248727,,,,,,,,,,,,,,,,,,,,,,,,,,,
405-2-000073,이도이동 무료 주차장,33.49063288,126.5247639,,,,,,,,,,,,,,,,,,,,,,,,,,,
405-2-000074,이도이동 무료 주차장,33.48913439,126.5276407,,,,,,,,,,,,,,,,,,,,,,,,,,,
405-2-000075,이도이동 무료 주차장,33.49048566,126.5267893,,,,,,,,,,,,,,,,,,,,,,,,,,,
405-2-000076,용담일동 무료 주차장,33.51044523,126.5168512,,,,,,,,,,,,,,,,,,,,,,,,,,,
