"주차장관리번호",주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,데이터기준일자
405-2-000011,법원 북측,공영,노외,,제주특별자치도 제주시 이도이동 1066,91,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시,,33.49472486,126.5353153,2021-08-18
405-2-000012,병문주차장,공영,노외,,제주특별자치도 제주시 삼도이동 1227-7,57,1,미시행,평일,09:00,19:00,09:00,19:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시,,33.51136655,126.5199404,2021-08-18
405-2-000013,성신로,공영,노외,,제주특별자치도 제주시 연동 2322-7,55,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시,,33.49105883,126.4860417,2021-08-18
405-2-000014,신제주공영주차장,공영,노외,,제주특별자치도 제주시 연동 272-31,500,1,미시행,평일+토요일+공휴일,12:00,22:00,12:00,22:00,12:00,22:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시,,33.48905159,126.4914888,2021-08-18
405-2-000015,용두암 주차장,공영,노외,,제주특별자치도 제주시 용담이동 483,62,1,미시행,평일+토요일+공휴일,09:00,18:00,09:00,18:30,09:00,18:30,유료,30,1000,15,500,,,,,,제주특별자치도 제주시,,33.51480245,126.511798,2021-08-18
405-2-000016,이도2동주민센터 앞,공영,노외,,제주특별자치도 제주시 이도이동 1052-2,150,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시,,33.49678487,126.5349256,2021-08-18
405-2-000017,인제주차장,공영,노외,,제주특별자치도 제주시 일도이동 409-11,125,1,미시행,평일,12:00,21:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시,,33.50482814,126.5419146,2021-08-18
405-2-000018,제일주차빌딩,공영,노외,,제주특별자치도 제주시 일도일동 1476-33,92,1,미시행,평일+토요일+공휴일,08:00,22:00,08:00,22:00,08:00,22:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시,,33.51348259,126.5265969,2021-08-18
405-2-000019,칠성상가제1,공영,노외,,제주특별자치도 제주시 일도일동 1476-1,16,1,미시행,평일,12:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시,,33.51413792,126.5263674,2021-08-18
405-2-000020,칠성상가제2,공영,노외,,제주특별자치도 제주시 일도일동 1401-13,14,1,미시행,평일,12:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시,,33.51398964,126.5237545,2021-08-18
405-2-000021,탑동제1주차장,공영,노외,,제주특별자치도 제주시 삼도이동 1263,66,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시,,33.51743346,126.5237391,2021-08-18
405-2-000022,탑동제2주차장,공영,노외,,제주특별자치도 제주시 삼도이동 1257,107,1,미시행,공휴일,00:00,00:00,12:00,21:00,12:00,21:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시,,33.51831557,126.5198385,2021-08-18
405-2-000023,동문재래시장,공영,노외,,제주특별자치도 제주시 이도일동 1330-5,95,1,미시행,평일,09:00,22:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시,,33.51084363,126.526068,2021-08-18
405-2-000024,칠성골,공영,노외,,제주특별자치도 제주시 삼도이동 1192-8,80,1,미시행,평일+토요일+공휴일,12:00,21:00,12:00,21:00,12:00,21:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시,,33.51651381,126.5252508,2021-08-18
405-2-000025,관덕정서측,공영,노외,,제주특별자치도 제주시 삼도이동 1024,36,1,미시행,평일,09:00,18:00,00:00,00:00,00:00,00:00,유료,30,1000,15,500,,,,,,제주특별자치도 제주시,,33.51351051,126.5206198,2021-08-18
