longitude,latitude
126.766258,33.297231
126.739713,33.283319
126.751562,33.495385
126.685739,33.393566
126.827393,33.327172
126.815407,33.342143
126.815025,33.342069
126.766752,33.326402
126.731796,33.327719
126.675526,33.424884
126.691817,33.360758
126.709238,33.553411
126.792372,33.5557
126.79749,33.555142
126.791752,33.556454
126.791384,33.556452
126.66046,33.543287
126.660333,33.543234
126.660226,33.543323
126.831737,33.463043
126.832029,33.325124
126.715533,33.552798
126.673393,33.540805
126.800224,33.55434
126.796712,33.554804
126.83618,33.464301
126.668518,33.543842
126.733817,33.433714
126.797234,33.555202
126.641168,33.544619
126.639623,33.543978
126.831888,33.463134
126.668038,33.543988
126.794597,33.556809
126.720546,33.556997
126.677701,33.55088
126.638514,33.428939
126.654897,33.549055
126.619929,33.53761
126.63853,33.481644
126.799244,33.554849
126.667249,33.542347
126.720786,33.556907
126.797502,33.555033
126.662262,33.543809
126.668228,33.54108
126.662217,33.54379
126.662216,33.543792
126.786332,33.470977
126.718559,33.434316
126.689063,33.435078
126.672628,33.544047
126.772027,33.535941
126.622959,33.494907
126.678903,33.49794
126.786465,33.471517
126.653141,33.544064
126.79742,33.555096
126.669501,33.54204
126.666821,33.542672
126.664568,33.542644
126.666951,33.543038
126.670765,33.542597
126.81107,33.491595
126.689429,33.435141
126.611409,33.465402
126.668254,33.542497
126.699804,33.552889
126.792981,33.556121
126.800192,33.554892
126.758982,33.556838
126.669942,33.541862
126.673537,33.54104
126.797317,33.55522
126.783597,33.346908
126.836582,33.464598
126.685228,33.394709
126.841999,33.325299
126.811205,33.558488
126.831595,33.463012
126.779079,33.308401
126.842905,33.325323
126.836384,33.328826
126.716099,33.283635
126.660335,33.543201
126.660466,33.543355
126.719894,33.280953
126.71987,33.280997
126.836699,33.327013
126.844031,33.320987
126.84349,33.320882
126.685523,33.394083
126.833294,33.326999
126.838722,33.325368
126.83464,33.31164
126.664594,33.543058
126.75558,33.45337
126.783414,33.479838
126.705165,33.552813
126.68499,33.395391
126.668536,33.542154
126.674663,33.539802
126.66008,33.54314
126.79453,33.55665
126.659954,33.546587
126.668552,33.542352
126.662214,33.543827
126.662281,33.543766
126.720711,33.282523
126.668556,33.543622
126.739005,33.285305
126.794687,33.556466
126.795219,33.556051
126.738983,33.285285
126.746994,33.281573
126.739087,33.285276
126.810931,33.491235
126.644164,33.553435
126.773709,33.408121
126.844655,33.322463
126.800847,33.389168
126.843874,33.321767
126.693012,33.290023
126.844197,33.32589
126.720735,33.556856
126.67293,33.540725
126.744511,33.286089
126.801002,33.556046
126.810809,33.491225
126.628886,33.440219
126.668285,33.543936
126.660272,33.543217
126.641658,33.535017
126.709183,33.274814
126.754265,33.452656
126.677227,33.494643
126.787844,33.345437
126.842602,33.325291
126.842789,33.32567
126.837132,33.312745
126.771543,33.353351
126.709347,33.55341
126.836755,33.380868
126.660454,33.543439
126.699016,33.552776
126.7178188,33.279784
126.7178036,33.279798
126.7240491,33.2797215
126.7174048,33.2810958
126.666941,33.54265
126.669485,33.541984
126.804144,33.332955
126.830683,33.327981
126.689095,33.435069
126.838608,33.325047
126.800601,33.390066
126.6691881,33.5390563
126.828952,33.3328478
126.644816,33.528864
126.7004523,33.3411201
126.7381421,33.4366586
126.7021961,33.3426038
126.7396001,33.4347325
126.811253,33.491459
126.779019,33.442852
126.778737,33.443324
126.781134,33.446882
126.66851,33.542376
126.679265,33.540563
126.668524,33.542377
126.794502,33.441456
126.815609,33.560552
126.842407,33.381334
126.6606061,33.5434271
126.6767026,33.422695
126.6889813,33.4352248
126.6738873,33.536997
126.708449,33.29604
126.759263,33.556742
126.815928,33.56046
126.664366,33.543062
126.794686,33.556695
126.66825,33.542491
126.696075,33.551218
126.6997803,33.5529216
126.7555596,33.5577078
126.8311143,33.3271871
126.84325,33.37483
126.84347,33.374226
126.843486,33.374201
126.718801,33.280316
126.798441,33.455033
126.826635,33.314943
126.811937,33.491103
126.717814,33.508781
126.646791,33.551241
126.7173638,33.282939
126.7209578,33.2805921
126.8315866,33.3333285
126.7174706,33.2829248
126.669087,33.541426
126.811101,33.491247
126.617181,33.502921
126.762624,33.291989
126.805417,33.555507
126.805474,33.555497
126.83145,33.462959
126.624272,33.537685
