longitude,latitude
126.887763,33.520444
126.935369,33.462334
126.919356,33.445197
126.901475,33.484129
126.878583,33.528792
126.893305,33.494967
126.908292,33.46569
126.918802,33.447433
126.863425,33.525346
126.929441,33.423679
126.887029,33.442893
126.918043,33.450227
126.85102,33.531599
126.862813,33.439198
126.932484,33.465732
126.932473,33.465737
126.920582,33.449766
126.935284,33.46165
126.866103,33.398413
126.914269,33.445185
126.927495,33.4318441
126.9088421,33.4466691
126.934927,33.468928
126.923903,33.451993
126.831737,33.463043
126.889406,33.526099
126.889403,33.526108
126.919759,33.437522
126.83618,33.464301
126.902937,33.480299
126.930081,33.423377
126.913078,33.471869
126.901428,33.484541
126.916115,33.438221
126.916115,33.438198
126.831888,33.463134
126.910667,33.460841
126.882239,33.385908
126.914285,33.451693
126.91493,33.451678
126.901561,33.484184
126.8945438,33.4959956
126.8926524,33.4971116
126.912209,33.4459
126.929369,33.423589
126.912343,33.501127
126.856184,33.525795
126.902003,33.48514
126.934852,33.465944
126.850649,33.53246
126.873699,33.528318
126.874935,33.437909
126.853075,33.52496
126.867646,33.511836
126.867531,33.511806
126.81107,33.491595
126.93029,33.423469
126.836582,33.464598
126.855404,33.525753
126.866044,33.369369
126.899666,33.396968
126.831595,33.463012
126.869429,33.4407
126.934862,33.468973
126.918055,33.436178
126.919122,33.441663
126.920417,33.449548
126.912762,33.459114
126.935367,33.463764
126.898002,33.493117
126.929501,33.461489
126.86338,33.52522
126.910899,33.454844
126.968483,33.49745
126.957768,33.513406
126.941226,33.508895
126.92763,33.430399
126.92989,33.423465
126.913091,33.471868
126.86489,33.362501
126.896935,33.407243
126.91358,33.450062
126.914931,33.451973
126.915487,33.467657
126.914956,33.451792
126.912646,33.502147
126.935783,33.462495
126.910783,33.472932
126.910957,33.47296
126.87485,33.438977
126.898752,33.44027
126.850365,33.532515
126.920757,33.436817
126.935679,33.462115
126.919019,33.444712
126.90484,33.398864
126.903886,33.402512
126.934493,33.460998
126.864366,33.360751
126.873848,33.438812
126.929266,33.423703
126.931685,33.466242
126.910739,33.455034
126.810931,33.491235
126.914964,33.452128
126.935797,33.462515
126.935759,33.462507
126.927273,33.432072
126.920085,33.469326
126.910328,33.475212
126.810809,33.491225
126.864007,33.439
126.892857,33.444189
126.907965,33.445657
126.916045,33.448054
126.914774,33.452451
126.910899,33.446863
126.914808,33.452314
126.890868,33.448501
126.890429,33.448348
126.837991,33.537131
126.880147,33.382688
126.91905,33.444634
126.930267,33.423469
126.830584,33.540554
126.935997,33.464986
126.912012,33.44625
126.908708,33.413225
126.896502,33.412466
126.908742,33.413189
126.854767,33.526045
126.853512,33.52522
126.929473,33.42361
126.908644,33.413132
126.908918,33.413405
126.906858,33.467676
126.908942,33.412988
126.9355,33.462288
126.935586,33.461997
126.909736,33.492058
126.925966,33.433379
126.916744,33.447576
126.8512275,33.5235583
126.898088,33.4807421
126.857394,33.52529
126.811253,33.491459
126.91491,33.452334
126.918237,33.447064
126.857137,33.522854
126.794502,33.441456
126.838372,33.534165
126.834574,33.537714
126.906013,33.496786
126.911868,33.451004
126.930416,33.423417
126.842407,33.381334
126.91579,33.449075
126.861649,33.521016
126.85461,33.522489
126.856885,33.525728
126.910486,33.475306
126.926141,33.432814
126.918215,33.438623
126.8758925,33.3760466
126.9353778,33.4624531
126.798441,33.455033
126.877731,33.376875
126.811937,33.491103
126.935736,33.462203
126.8975619,33.4078736
126.8688388,33.3692443
126.8980588,33.4837806
126.935035,33.465019
126.811101,33.491247
126.929305,33.423561
126.93544,33.462505
126.83738,33.537595
126.929698,33.423423
126.921727,33.450405
126.899597,33.517145
126.827866,33.545096
126.934148,33.47217
126.83145,33.462959
126.935416,33.461632
126.933977,33.460869
126.935042,33.465851
126.934958,33.465994
126.934963,33.465965
126.921392,33.468634
126.90803,33.456008
126.935038,33.465957
126.935592,33.462793
126.934967,33.465995
126.930116,33.423346
126.910443,33.475131
126.83705,33.464657
126.916606,33.44863
126.865925,33.369383
126.925944,33.455408
126.872301,33.4504575
126.855997,33.372133
126.910378,33.475278
126.836953,33.464644
126.898995,33.440023
126.855011,33.429879
126.92768,33.430386
126.918923,33.441772
126.925275,33.427386
126.856582,33.523952
126.8083761,33.4949233
126.7942525,33.4411033
126.9279175,33.4307541
126.906857,33.406638
126.929656,33.430845
126.935498,33.462744
126.862959,33.524904
126.929683,33.461259
126.930668,33.462264
126.898683,33.440095
126.935196,33.468941
126.916018,33.448026
126.929895,33.46119
126.929981,33.461113
126.930289,33.461292
126.929552,33.461364
126.859728,33.520308
126.914582,33.459496
126.912104,33.446329
126.914559,33.459497
126.852778,33.522654
126.903493,33.520085
126.914531,33.459457
126.85495,33.371542
126.860108,33.524613
126.929869,33.423489
126.910347,33.475673
126.895247,33.492672
126.930122,33.423376
126.912656,33.472088
126.934484,33.472473
126.920032,33.469242
126.919421,33.445246
126.909897,33.459448
126.929711,33.423442
126.882771,33.526829
126.855628,33.52583
126.931431,33.463037
126.910512,33.475174
126.834817,33.537818
126.933932,33.472352
126.885029,33.445329
126.935981,33.46472
126.934988,33.462403
126.901039,33.496157
126.856471,33.526682
126.810898,33.491168
126.912773,33.503531
126.935107,33.462119
126.911193,33.446798
126.907988,33.445697
126.905944,33.496466
126.934712,33.466198
126.854288,33.523798
126.828223,33.526823
126.828249,33.526849
126.91839,33.450372
126.926487,33.432072
126.925361,33.4276
126.914668,33.452112
126.830663,33.54056
126.811269,33.491129
126.911994,33.446436
126.912925,33.471785
126.92146,33.438163
126.912901,33.471827
126.93579,33.462491
126.879796,33.528378
126.882288,33.527303
126.898571,33.495947
126.881208,33.526897
126.879726,33.381576
126.934897,33.461691
126.933814,33.472447
