longitude,latitude
126.347367,33.45686
126.328041,33.463538
126.261137,33.415911
126.264957,33.412636
126.277581,33.408615
126.278064,33.408863
126.392865,33.468102
126.310469,33.46221
126.235374,33.389806
126.311126,33.459809
126.257353,33.411311
126.365491,33.390702
126.402056,33.441376
126.3116,33.461301
126.358806,33.363656
126.363207,33.364032
126.3072123,33.4479868
126.307921,33.452008
126.235415,33.389766
126.261366,33.414375
126.345175,33.396453
126.358923,33.447918
126.371411,33.474448
126.309365,33.463483
126.322031,33.460005
126.361298,33.421416
126.390254,33.487622
126.232403,33.389387
126.392559,33.485738
126.365711,33.390782
126.309707,33.462373
126.242303,33.39621
126.352728,33.473004
126.267111,33.394267
126.383047,33.393737
126.3782,33.473583
126.305587,33.350459
126.358593,33.47902
126.2768701,33.4304143
126.3293991,33.4627315
126.353752,33.476687
126.260887,33.423003
126.345338,33.396392
126.373661,33.4806883
126.358873,33.447681
126.366575,33.409778
126.262056,33.415679
126.241534,33.394968
126.358688,33.363472
126.33123,33.442905
126.31151,33.461376
126.261353,33.414522
126.262096,33.419589
126.401214,33.419592
126.397186,33.467344
126.268193,33.409307
126.235435,33.3897198
126.258343,33.407952
126.3095968,33.4640606
126.390719,33.487335
126.39079,33.487376
126.285233,33.439257
126.238564,33.391387
126.34726,33.471273
126.306836,33.45156
126.375587,33.482213
126.329962,33.434699
126.311977,33.461289
126.359051,33.363518
126.373689,33.480788
126.310573,33.462038
126.311539,33.461384
126.348373,33.472697
126.303961,33.449292
126.35887,33.479071
126.339248,33.4678
126.261722,33.415358
126.30952,33.462733
126.251386,33.401987
126.371544,33.410842
126.348338,33.455948
126.365975,33.391002
126.313682,33.463642
126.365883,33.390795
126.312563,33.462869
126.302002,33.448098
126.312537,33.46285
126.315908,33.458986
126.237827,33.390733
126.241085,33.394814
126.350081,33.473058
126.3379323,33.4624555
126.4085251,33.4238765
126.329581,33.462707
126.3294441,33.4626486
126.263615,33.409038
126.257847,33.407642
126.345132,33.396383
126.226645,33.388712
126.403703,33.444229
126.310134,33.464536
126.309755,33.462408
126.229053,33.38638
126.309696,33.466028
126.309238,33.463873
126.360105,33.3878773
126.250819,33.402128
126.408337,33.402997
126.311122,33.459161
126.251551,33.403974
126.262094,33.419253
126.395821,33.433916
126.253109,33.405084
126.337105,33.466834
126.309792,33.463409
126.306726,33.451497
126.35966,33.478024
126.34877,33.472883
126.311542,33.46135
126.267182,33.412445
126.345396,33.396607
126.239572,33.39318
126.285422,33.441766
126.328567,33.432833
126.24064,33.394768
126.309478,33.453007
126.309981,33.466029
126.237848,33.390369
126.309772,33.462534
126.251438,33.401878
126.340051,33.46857
126.376378,33.48302
126.295132,33.444075
126.312087,33.461457
126.266077,33.408724
126.358956,33.363848
126.262902,33.419541
126.272579,33.358013
126.354447,33.476279
126.3633,33.478459
126.259052,33.408376
126.261283,33.415674
126.330373,33.450232
126.305761,33.350842
126.311485,33.461375
126.376432,33.483075
126.38528,33.470995
126.318835,33.466818
126.3280931,33.3476955
126.390266,33.467291
126.39014,33.467224
126.392952,33.465992
126.261384,33.415441
126.264751,33.429077
126.390354,33.467457
126.392815,33.46642
126.390898,33.469627
126.337202,33.466367
126.309768,33.462374
126.360422,33.436754
126.365667,33.410085
126.348582,33.471965
126.337652,33.466971
126.303731,33.448721
126.263264,33.416517
126.232567,33.389174
126.238288,33.390528
126.24423,33.396758
126.239264,33.393001
126.309671,33.463906
126.264562,33.411952
126.368496,33.472114
126.256807,33.405876
126.23928,33.39338
126.251566,33.378589
126.244113,33.396858
126.345564,33.397453
126.238892,33.381614
126.359258,33.363453
126.311557,33.46253
126.37997,33.440254
126.30981,33.462235
126.277452,33.42723
126.317118,33.344327
126.244535,33.397148
126.301899,33.448124
126.378116,33.484121
126.309831,33.462333
126.368629,33.478044
126.309384,33.46355
126.383143,33.393696
126.2744635,33.4306776
126.356192,33.478411
126.288616,33.439735
126.339293,33.467798
126.244669,33.398515
126.390563,33.485183
126.389634,33.488362
126.301791,33.44814
126.337274,33.461337
126.264365,33.425285
126.309819,33.462381
126.334767,33.45683
126.408229,33.439633
126.408221,33.439624
126.408321,33.44024
126.360769,33.361628
126.24512,33.388209
126.347021,33.470187
126.311342,33.461606
126.321037,33.464486
126.29187,33.443563
126.28527,33.43929
126.31918,33.46472
126.382199,33.485648
126.388768,33.48891
126.23913,33.3932425
126.241296,33.37805
126.241402,33.380752
126.258694,33.40969
126.263283,33.392527
126.305541,33.350973
126.349203,33.440353
126.348754,33.439623
126.34921,33.440016
126.34923,33.440345
126.349038,33.440525
126.349215,33.440226
126.349221,33.440368
126.23973,33.393215
126.244033,33.396892
126.267521,33.409071
126.366006,33.371301
126.239519,33.393186
126.240233,33.393341
126.311134,33.459773
126.379948,33.440342
126.3546,33.473367
126.232975,33.389026
126.366711,33.390918
126.366437,33.371632
126.216436,33.37949
126.216247,33.378242
126.310403,33.462246
126.345124,33.396342
126.359017,33.363431
126.289694,33.441907
126.350498,33.340185
126.349881,33.339849
126.348763,33.340619
126.350581,33.339724
126.3453621,33.3966085
126.2632928,33.3925171
126.408327,33.405523
126.384598,33.450598
126.365551,33.390876
126.309192,33.464021
126.261394,33.415745
126.345385,33.396962
126.312334,33.461822
126.237771,33.391418
126.345008,33.396225
126.241372,33.392019
126.365873,33.390843
126.37371,33.480837
126.36528,33.453499
126.365103,33.453404
126.409366,33.42471
126.383308,33.393541
126.240856,33.394741
126.392574,33.484544
126.347177,33.457056
126.365534,33.390945
126.301898,33.448095
126.302354,33.448593
126.390365,33.487642
126.304937,33.44659
126.301856,33.448133
126.347294,33.456767
126.350586,33.47277
126.3095381,33.4627233
126.3587916,33.4777938
126.2381355,33.3904686
126.301746,33.448133
126.301822,33.448152
126.30181,33.448105
126.301786,33.448145
126.301148,33.447945
126.385759,33.407376
126.30364,33.448952
126.327057,33.452267
126.309113,33.464315
126.21628,33.378584
126.305883,33.350967
126.358587,33.363578
126.371101,33.47437
126.4093163,33.4246166
126.251917,33.402855
126.365697,33.371423
126.216382,33.37859
126.357294,33.478604
126.290657,33.441456
126.358657,33.363547
126.374308,33.476558
126.380316,33.483911
126.366949,33.478397
126.345154,33.396394
126.383227,33.393714
126.274408,33.356946
126.261516,33.414741
126.308965,33.455914
126.271642,33.390072
126.271138,33.435242
126.258472,33.409902
126.303506,33.448788
126.39391,33.484539
126.300054,33.447308
126.34822,33.472907
126.306836,33.448072
126.380562,33.373268
126.246962,33.399162
126.379635,33.433965
126.37525,33.419442
126.392319,33.484784
126.380321,33.373128
126.309759,33.46598
126.244482,33.396702
126.409282,33.424575
126.366099,33.371783
126.365938,33.371721
126.348495,33.472708
126.365944,33.371226
126.316267,33.464372
126.313966,33.46363
126.348639,33.472873
126.262038,33.419261
126.401717,33.419555
126.339166,33.467497
126.36868,33.47806
126.239279,33.393308
126.365967,33.371272
126.366045,33.371223
126.279871,33.442057
126.235316,33.389775
126.344854,33.395938
126.340562,33.469977
126.244316,33.398698
126.240774,33.394756
126.261358,33.415652
126.291555,33.44259
126.29148,33.442405
126.347329,33.470947
126.393162,33.484292
126.405395,33.423612
126.389998,33.487788
126.366005,33.446779
126.232395,33.389359
126.248795,33.395067
126.240686,33.394851
126.26166,33.415457
126.30794,33.44877
126.303525,33.448889
126.26362,33.428952
126.309726,33.463945
126.366067,33.446813
126.261607,33.415466
126.262014,33.41938
126.307143,33.44812
126.401112,33.419824
126.401085,33.419865
126.365925,33.390917
126.261495,33.415396
126.235733,33.382373
126.235617,33.389684
126.365953,33.390957
126.309857,33.462361
126.251754,33.40259
126.261315,33.415803
126.312174,33.461877
126.356831,33.478509
126.345397,33.396625
126.345204,33.396478
126.309062,33.464337
126.387167,33.488725
126.348159,33.472914
126.366776,33.478363
126.3323,33.467622
126.365724,33.371423
126.365174,33.368958
126.324619,33.466364
126.306795,33.451572
126.377818,33.484077
126.296571,33.446584
126.365577,33.390939
126.358407,33.363398
126.329751,33.435838
126.34942,33.340708
126.391775,33.450393
126.235276,33.389744
126.309034,33.464661
126.278198,33.423072
126.2268,33.385746
126.253314,33.401371
126.241043,33.394342
126.363683,33.36126
126.31045,33.463157
126.36337,33.364293
126.345282,33.396332
126.350648,33.472751
126.350402,33.472244
126.336121,33.466931
126.370032,33.477301
126.365759,33.390752
126.345222,33.396516
126.408347,33.40283
126.311801,33.460924
126.262369,33.419389
126.309752,33.462274
126.366018,33.371251
126.359053,33.363889
126.237862,33.39033
126.244209,33.398563
126.218712,33.380772
126.322473,33.346966
126.363935,33.361513
126.347041,33.455627
126.306322,33.454046
126.258577,33.409797
126.392627,33.485853
126.390641,33.487844
126.244776,33.39898
126.379802,33.483663
126.382189,33.485768
126.310314,33.46301
126.390612,33.467675
126.390358,33.470291
126.281613,33.386784
126.265777,33.386795
126.320381,33.465015
126.245102,33.396283
126.240819,33.394751
126.345033,33.396122
126.311053,33.444857
126.366411,33.409724
126.359012,33.363861
126.339142,33.46751
126.311264,33.460684
126.368247,33.472394
126.257038,33.405662
126.250506,33.401125
126.311658,33.461476
126.303436,33.448639
126.261725,33.413072
126.262381,33.418577
126.403704,33.444294
126.380579,33.373176
126.348931,33.340822
126.330933,33.438031
126.256203,33.405059
126.241005,33.394781
126.406456,33.406229
126.261157,33.413852
126.309866,33.462246
126.318642,33.46664
126.348791,33.472852
126.37644,33.483077
126.304118,33.448212
126.339222,33.467352
126.348773,33.472876
126.23536,33.382825
126.401567,33.419522
126.367899,33.47169
126.311991,33.461261
126.309748,33.462323
126.311545,33.461399
126.277468,33.427111
126.23233,33.389186
126.252611,33.405432
126.365218,33.410453
126.264839,33.410373
126.309759,33.462404
126.344532,33.395644
126.347227,33.36171
126.311151,33.460729
126.305851,33.350805
126.373714,33.480848
126.309519,33.464104
126.245659,33.395861
126.37704,33.48275
126.377168,33.483456
126.37709,33.48269
126.262615,33.418762
126.358734,33.474735
126.409387,33.424723
126.376458,33.483099
126.264007,33.409361
